,1,2,3,4,Players Sent,Players Received,Year,Month,Day
12, Quebec (NHA), • cash, • Odie Cleghorn,Wanderers(NHA),1,1,1911,01,01
13, Wanderers (NHA), • Odie Cleghorn, • cash,Quebec(NHA),1,1,1911,01,01
31, Canadiens, • rights to Newsy Lalonde, • $750 cash,Vancouver(PCHA),1,1,1913,01,01
33, Ontarios (NHA), • Ed Lowrey (Eddie Lowrey), • cash,Senators(NHA),1,1,1914,01,01
34, Senators (NHA), • cash, • Ed Lowrey (Eddie Lowrey),Ontarios(NHA),1,1,1914,01,01
38, Bulldogs (NHA), • cash, • Goldie Prodgers,Wanderers(NHA),1,1,1914,12,04
39, Wanderers (NHA), • Goldie Prodgers, • cash,Bulldogs(NHA),1,1,1914,12,04
42, Blueshirts (NHA), • Tommy Smith, • Jack McDonald (P.),Bulldogs(NHA),1,1,1914,12,21
43, Bulldogs (NHA), • Jack McDonald (P.), • Tommy Smith,Blueshirts(NHA),1,1,1914,12,21
44, Senators (NHA), • Sammy Hebert• cash, • Skene Ronan,Shamrocks(NHA),1,2,1914,12,25
45, Shamrocks (NHA), • Skene Ronan, • Sammy Hebert• cash,Senators(NHA),2,1,1914,12,25
46, Blueshirts (NHA), • cash, • Tommy Smith,Bulldogs(NHA),1,1,1915,01,29
47, Bulldogs (NHA), • Tommy Smith, • cash,Blueshirts(NHA),1,1,1915,01,29
48, Canadiens (NHA), • cash, • Don Smith (J.),Wanderers(NHA),1,1,1915,02,02
49, Wanderers (NHA), • Don Smith (J.), • cash,Canadiens(NHA),1,1,1915,02,02
60, Blueshirts (NHA), • cash, • Cy Denneny,Senators(NHA)(dateapproximate),1,1,1917,01,01
61, Senators (NHA), • Cy Denneny, • cash,Blueshirts(NHA)(dateapproximate),1,1,1917,01,01
62, Bulldogs (NHA), • Sammy Hebert, • Tommy Smith,Canadiens(NHA),1,1,1917,01,16
63, Canadiens (NHA), • Sammy Hebert, • Jack Fournier,Senators(NHA),1,1,1917,01,16
64, Canadiens (NHA), • Tommy Smith, • Sammy Hebert,Bulldogs(NHA),1,1,1917,01,16
65, Senators (NHA), • Jack Fournier, • Sammy Hebert,Canadiens(NHA),1,1,1917,01,16
139, Ottawa, • Sammy Hebert, • cash,Toronto(NHA),1,1,1918,02,11
140, Toronto (NHA), • cash, • Sammy Hebert,Ottawa,1,1,1918,02,11
142, Canadiens, • cash, • Tommy Smith,Senators,1,1,1918,11,28
143, Senators, • Tommy Smith, • cash,Canadiens,1,1,1918,11,28
146, Senators, • Skene Ronan, • rights to Harry Hyland,Shamrocks,1,1,1918,12,09
147, Shamrocks, • rights to Harry Hyland, • Skene Ronan,Senators,1,1,1918,12,09
149, Arenas, • Rusty Crawford, • future considerations (loan of Harry Cameron on 1919-01-19),Senators,1,1,1918,12,14
150, Senators, • future considerations (loan of Harry Cameron on 1919-01-19), • Rusty Crawford,Arenas,1,1,1918,12,14
155, Arenas, , • loan of Harry Cameron,senttoSenatorstocompleteearliertradeinvolvingRustyCrawford,1,0,1919,01,19
156, Senators, • loan of Harry Cameron, ,receivedfromArenastocompleteearliertradeinvolvingRustyCrawford,0,1,1919,01,19
187, Arenas, • cash, • Alf Skinner,Vancouver(PCHA),1,1,1919,12,07
188, Arenas, • cash, • Harry Meeking,Victoria(PCHA),1,1,1919,12,07
189, Arenas, • cash, • Jack Adams (a),Vancouver(PCHA),1,1,1919,12,07
200, Bulldogs, • Ed Carpenter, • Goldie Prodgers,Canadiens,1,1,1919,12,21
202, Canadiens, • Goldie Prodgers, • Ed Carpenter,Bulldogs,1,1,1919,12,21
207, Arenas, • Goldie Prodgers, • Harry Cameron,Canadiens,1,1,1920,01,14
208, Canadiens, • Harry Cameron, • Goldie Prodgers,Arenas,1,1,1920,01,14
223, Arenas, • Harry Cameron, • Goldie Prodgers• Joe Matte,Canadiens,2,1,1920,11,27
224, Canadiens, • Goldie Prodgers• Joe Matte, • Harry Cameron,Arenas,1,2,1920,11,27
225, Canadiens, • Harry Mummery• Jack McDonald (P.)• Dave Ritchie, • Jack Coughlin• Goldie Prodgers• Joe Matte• loan of Billy Coutu for 1920-21 season,Tigers,4,3,1920,11,27
226, Tigers, • Jack Coughlin• Goldie Prodgers• Joe Matte• loan of Billy Coutu for 1920-21 season, • Harry Mummery• Jack McDonald (P.)• Dave Ritchie,Canadiens,3,4,1920,11,27
231, St. Patricks, • cash, • Howard Lockhart,Tigers,1,1,1920,12,16
232, Tigers, • Howard Lockhart, • cash,StPatricks,1,1,1920,12,16
240, Canadiens, • rights to Harry Broadbent / Punch Broadbent• rights to Sprague Cleghorn, • cash,Tigers,1,2,1921,01,04
241, Tigers, • cash, • rights to Harry Broadbent / Punch Broadbent• rights to Sprague Cleghorn,Canadiens,2,1,1921,01,04
242, Maple Leafs, • cash, • Mickey Roach,Tigers,1,1,1921,01,21
