Team,Wins,Losses,Win %,Division,Joined League,All GP,All W,All L,All T,All OTL,All Points,All PTS%,Cup Apps,Cup App Seasons
Coyotes,0,0,0,West,1979,"3,178","1,311","1,442",266,159,"3,047",0.478,0,0
Hurricanes,1,1,0.5,Central,1979,"3,176","1,325","1,422",263,166,"3,079",0.485,2,"2002, 2006"
Canucks,0,3,0,North,1970,"3,889","1,626","1,717",391,155,"3,798",0.488,3,"1982, 1994, 2011"
Devils,3,2,0.6,East,1974,"3,577","1,515","1,572",328,162,"3,520",0.492,5,"1995, 2000, 2001, 2003, 2012"
Kings,2,1,0.667,West,1967,"4,116","1,733","1,801",424,158,"4,048",0.492,3,"1993, 2012, 2014"
BlueJackets,0,0,0,Central,2000,"1,512",660,672,33,147,"1,500",0.496,0,0
Jets,0,0,0,North,1999,"1,595",694,706,45,150,"1,583",0.496,0,0
Panthers,0,1,0,Central,1993,"2,053",852,856,142,203,"2,049",0.499,1,1996
Blackhawks,6,7,0.462,Central,1926,"6,504","2,788","2,736",814,166,"6,556",0.504,13,"1931, 1934, 1938, 1944, 1961, 1962, 1965, 1971, 1973, 1992, 2010, 2013, 2015"
Lightning,2,1,0.667,Central,1992,"2,138",949,930,112,147,"2,157",0.504,3,"2004, 2015, 2020"
Senators,0,1,0,North,1992,"2,139",948,912,115,164,"2,175",0.508,1,2007
MapleLeafs,13,8,0.619,North,1917,"6,730","2,965","2,815",783,167,"6,880",0.511,21,"1918, 1922, 1932, 1933, 1935, 1936, 1938, 1939, 1940, 1942, 1945, 1947, 1948, 1949, 1951, 1959, 1960, 1962, 1963, 1964, 1967"
Islanders,4,1,0.8,East,1972,"3,732","1,656","1,570",347,159,"3,818",0.512,5,"1980, 1981, 1982, 1983, 1984"
Rangers,4,7,0.364,East,1926,"6,504","2,856","2,693",808,147,"6,667",0.513,11,"1928, 1929, 1932, 1933, 1937, 1940, 1950, 1972, 1979, 1994, 2014"
Stars,1,4,0.2,Central,1967,"4,115","1,819","1,689",459,148,"4,245",0.516,5,"1981, 1991, 1999, 2000, 2020"
Oilers,5,2,0.714,North,1979,"3,179","1,434","1,318",262,165,"3,295",0.518,7,"1983, 1984, 1985, 1987, 1988, 1990, 2006"
Penguins,5,1,0.833,East,1967,"4,115","1,866","1,718",383,148,"4,263",0.518,6,"1991, 1992, 2008, 2009, 2016, 2017"
Avalanche,2,0,1,West,1979,"3,178","1,465","1,314",261,138,"3,329",0.524,2,"1996, 2001"
Capitals,1,1,0.5,East,1974,"3,577","1,664","1,452",303,158,"3,789",0.53,2,"1998, 2018"
RedWings,11,13,0.458,Central,1926,"6,505","2,970","2,547",815,173,"6,928",0.533,24,"1934, 1936, 1937, 1941, 1942, 1943, 1945, 1948, 1949, 1950, 1952, 1954, 1955, 1956, 1961, 1963, 1964, 1966, 1995, 1997, 1998, 2002, 2008, 2009"
Sabres,0,2,0,East,1970,"3,889","1,790","1,530",409,160,"4,149",0.533,2,"1975, 1999"
Blues,1,3,0.25,West,1967,"4,117","1,902","1,625",432,158,"4,394",0.534,4,"1968, 1969, 1970, 2019"
Sharks,0,1,0,West,1991,"2,218","1,049",892,121,156,"2,375",0.535,1,2016
Flames,1,2,0.333,North,1972,"3,734","1,739","1,469",379,147,"4,004",0.536,3,"1986, 1989, 2004"
Ducks,1,1,0.5,West,1993,"2,055",973,804,107,171,"2,224",0.541,2,"2003, 2007"
Wild,0,0,0,West,2000,"1,511",724,583,55,149,"1,652",0.547,0,0
Predators,0,1,0,Central,1998,"1,675",821,633,60,161,"1,863",0.556,1,2017
Bruins,6,14,0.3,East,1924,"6,570","3,208","2,387",791,184,"7,391",0.562,20,"1927, 1929, 1930, 1939, 1941, 1943, 1946, 1953, 1957, 1958, 1970, 1972, 1974, 1977, 1978, 1988, 1990, 2011, 2013, 2019"
Flyers,2,6,0.25,East,1967,"4,115","2,054","1,429",457,175,"4,740",0.576,8,"1974, 1975, 1976, 1980, 1985, 1987, 1997, 2010"
Canadiens,24,9[a],0.727,North,1917,"6,731","3,449","2,281",837,164,"7,899",0.587,34,"1916, 1917, 1919[a], 1924, 1925, 1930, 1931, 1944, 1946, 1947, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1965, 1966, 1967, 1968, 1969, 1971, 1973, 1976, 1977, 1978, 1979, 1986, 1989, 1993"
GoldenKnights,0,1,0,West,2017,235,133,80,0,22,288,0.613,1,2018
