Team,Wins,Losses,Win %,Division,Joined League,All GP,All W,All L,All T,All OTL,All Points,All PTS%,Cup Apps,Cup App Seasons,2017 - 2018 Rk,2017-2018 Overall,2017-2018 Shootout,2017-2018 Overtime,2017-2018 Home,2017-2018 Road,2017-2018 EAS,2017-2018 WES,2017-2018 ATL,2017-2018 MET,2017-2018 CEN,2017-2018 PAC,2017-2018 ≤1,2017-2018 ≥3,2017-2018 Oct,2017-2018 Nov,2017-2018 Dec,2017-2018 Jan,2017-2018 Feb,2017-2018 Mar,2017-2018 Apr,2018 - 2019 Rk,2018 - 2019 Overall,2018 - 2019 Shootout,2018 - 2019 Overtime,2018 - 2019 Home,2018 - 2019 Road,2018 - 2019 EAS,2018 - 2019 WES,2018 - 2019 ATL,2018 - 2019 MET,2018 - 2019 CEN,2018 - 2019 PAC,2018 - 2019 ≤1,2018 - 2019 ≥3,2018 - 2019 Oct,2018 - 2019 Nov,2018 - 2019 Dec,2018 - 2019 Jan,2018 - 2019 Feb,2018 - 2019 Mar,2018 - 2019 Apr
Avalanche,2,0,1,West,1979,"3,178","1,465","1,314",261,138,"3,329",0.524,2,"1996, 2001",17,43-30-9,2-1,6-8,28-11-2,15-19-7,19-11-2,24-19-7,10-5-1,9-6-1,13-10-3,11-9-4,11-6-9,19-13-0,6-5-0,6-4-2,7-7-1,8-2-1,7-6-1,8-4-3,1-2-1,17,38-30-14,2-2,3-12,21-14-6,17-16-8,16-10-6,22-20-8,9-5-2,7-5-4,12-9-5,10-11-3,9-8-14,21-18-0,7-3-2,8-3-3,4-7-3,3-7-0,6-4-4,8-5-1,2-1-1
Blackhawks,6,7,0.462,Central,1926,"6,504","2,788","2,736",814,166,"6,556",0.504,13,"1931, 1934, 1938, 1944, 1961, 1962, 1965, 1971, 1973, 1992, 2010, 2013, 2015",25,33-39-10,1-2,6-8,18-18-5,15-21-5,17-12-3,16-27-7,8-5-3,9-7-0,9-14-3,7-13-4,11-8-10,14-21-0,5-5-2,7-4-2,6-5-2,6-5-1,3-9-1,5-9-2,1-2-0,20,36-34-12,3-1,9-11,19-14-8,17-20-4,16-13-3,20-21-9,9-6-1,7-7-2,14-8-4,6-13-5,20-9-12,12-16-0,6-4-3,3-8-2,6-8-1,3-4-3,9-4-0,7-5-2,2-1-1
BlueJackets,0,0,0,Central,2000,"1,512",660,672,33,147,"1,500",0.496,0,0,14,45-30-7,6-4,9-3,26-12-3,19-18-4,30-17-5,15-13-2,16-7-1,14-10-4,7-6-1,8-7-1,23-7-7,13-11-0,8-4-0,8-4-1,6-7-2,5-4-1,5-7-1,12-3-1,1-1-1,13,47-31-4,2-1,8-3,22-17-2,25-14-2,31-19-2,16-12-2,13-10-1,18-9-1,9-5-0,7-7-2,17-6-4,25-16-0,6-5-0,9-3-2,8-5-1,5-6-0,8-5-0,9-6-1,2-1-0
Blues,1,3,0.25,West,1967,"4,117","1,902","1,625",432,158,"4,394",0.534,4,"1968, 1969, 1970, 2019",18,44-32-6,3-0,8-6,24-17-0,20-15-6,21-10-1,23-22-5,11-5-0,10-5-1,11-12-3,12-10-2,19-8-6,15-17-0,10-2-1,7-5-0,7-8-1,7-3-1,4-8-1,8-3-2,1-3-0,12,45-28-9,3-3,6-6,24-15-2,21-13-7,20-10-2,25-18-7,11-4-1,9-6-1,12-9-5,13-9-2,16-8-9,22-15-0,3-4-3,6-8-0,6-6-1,7-4-1,12-1-1,8-5-2,3-0-1
Bruins,6,14,0.3,East,1924,"6,570","3,208","2,387",791,184,"7,391",0.562,20,"1927, 1929, 1930, 1939, 1941, 1943, 1946, 1953, 1957, 1958, 1970, 1972, 1974, 1977, 1978, 1988, 1990, 2011, 2013, 2019",4,50-20-12,3-3,6-9,28-8-5,22-12-7,33-11-8,17-9-4,18-8-2,15-3-6,7-4-3,10-5-1,21-3-12,21-7-0,4-3-3,7-5-1,10-2-2,8-1-2,9-4-0,11-2-3,1-3-1,3,49-24-9,2-3,9-6,29-9-3,20-15-6,29-19-4,20-5-5,16-10-2,13-9-2,8-3-3,12-2-2,21-6-9,23-11-0,7-3-2,7-4-2,7-7-0,6-3-3,11-0-2,9-6-0,2-1-0
Canadiens,24,9[a],0.727,North,1917,"6,731","3,449","2,281",837,164,"7,899",0.587,34,"1916, 1917, 1919[a], 1924, 1925, 1930, 1931, 1944, 1946, 1947, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1965, 1966, 1967, 1968, 1969, 1971, 1973, 1976, 1977, 1978, 1979, 1986, 1989, 1993",28,29-40-13,2-6,3-7,18-14-9,11-26-4,20-23-9,9-17-4,13-10-5,7-13-4,4-7-3,5-10-1,11-4-13,10-20-0,4-7-1,8-5-2,4-7-1,4-5-2,4-5-4,4-9-2,1-2-1,14,44-30-8,3-0,4-8,25-12-4,19-18-4,27-17-8,17-13-0,15-8-5,12-9-3,6-8-0,11-5-0,17-9-8,17-17-0,6-3-2,5-6-3,10-5-0,7-4-0,6-5-2,8-6-1,2-1-0
Canucks,0,3,0,North,1970,"3,889","1,626","1,717",391,155,"3,798",0.488,3,"1982, 1994, 2011",26,31-40-11,0-5,6-6,16-18-7,15-22-4,13-15-4,18-25-7,5-9-2,8-6-2,9-8-4,9-17-3,11-7-11,14-23-0,6-3-2,6-7-2,4-8-1,4-6-1,4-8-2,6-8-1,1-0-2,23,35-36-11,6-6,7-5,20-16-5,15-20-6,14-15-3,21-21-8,10-4-2,4-11-1,10-7-4,11-14-4,17-14-11,12-19-0,8-6-0,3-8-3,8-5-1,4-3-2,4-7-3,7-6-1,1-1-1
Capitals,1,1,0.5,East,1974,"3,577","1,664","1,452",303,158,"3,789",0.53,2,"1998, 2018",7,49-26-7,3-1,8-6,28-11-2,21-15-5,33-14-5,16-12-2,16-6-2,17-8-3,9-4-1,7-8-1,20-6-7,14-14-0,5-6-1,9-5-0,10-2-2,6-2-2,6-6-2,10-4-0,3-1-0,4,48-26-8,4-1,5-7,24-11-6,24-15-2,33-14-5,15-12-3,14-7-3,19-7-2,5-7-2,10-5-1,19-5-8,16-14-0,5-3-2,10-4-1,9-4-0,3-6-3,9-4-1,11-3-1,1-2-0
Coyotes,0,0,0,West,1979,"3,178","1,311","1,442",266,159,"3,047",0.478,0,0,29,29-41-12,2-5,7-7,16-21-4,13-20-8,12-17-3,17-24-9,7-9-0,5-8-3,7-12-2,10-12-7,16-10-12,10-16-0,1-11-1,5-7-3,3-9-1,3-2-4,6-5-1,10-6-1,1-1-1,18,39-35-8,4-3,5-5,20-17-4,19-18-4,12-16-4,27-19-4,7-9-0,5-7-4,11-9-1,16-10-3,16-8-8,16-15-0,6-5-0,5-6-2,6-9-0,6-3-2,8-5-1,7-5-3,1-2-0
Devils,3,2,0.6,East,1974,"3,577","1,515","1,572",328,162,"3,520",0.492,5,"1995, 2000, 2001, 2003, 2012",15,44-29-9,5-4,6-5,23-14-4,21-15-5,30-16-6,14-13-3,14-6-4,16-10-2,7-6-1,7-7-2,25-8-9,12-11-0,8-2-0,6-4-4,8-4-2,3-6-2,8-6-0,8-6-1,3-1-0,29,31-41-10,3-4,4-6,20-14-7,11-27-3,19-28-5,12-13-5,10-12-2,9-16-3,3-7-4,9-6-1,12-10-10,15-26-0,5-3-1,4-8-3,6-5-3,4-8-0,6-7-1,4-9-2,2-1-0
