,Rk,Conf Champ,League Champ,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
Colorado Avalanche*,1,1,1,28.4,82,52,16,10,4,118,0.72,270,192,0.95,0,3.29,2.34,80,363,22.04,59,342,82.75,11,11,13.7,14.3,2395,11.3,2059,0.907,7
Detroit Red Wings*,2,0,0,30.1,82,49,20,9,4,111,0.677,253,202,0.63,0.01,3.09,2.46,85,384,22.14,55,385,85.71,10,7,13,12.8,2650,9.5,2221,0.909,3
New Jersey Devils*,3,1,0,28.5,82,48,19,12,3,111,0.677,295,195,1.1,-0.12,3.6,2.38,71,310,22.9,49,320,84.69,9,6,14.9,13.6,2588,11.4,2024,0.904,10
Ottawa Senators*,4,0,0,25.8,82,48,21,9,4,109,0.665,274,205,0.74,-0.1,3.34,2.5,71,381,18.64,49,361,86.43,10,5,12.8,14.1,2476,11.1,2235,0.908,9
Dallas Stars*,5,0,0,29.4,82,48,24,8,2,106,0.646,241,187,0.68,0.02,2.94,2.28,72,367,19.62,49,355,86.2,7,7,12.6,13.5,2100,11.5,2043,0.908,11
St. Louis Blues*,6,0,0,28.5,82,43,22,12,5,103,0.628,249,195,0.67,0.01,3.04,2.38,72,385,18.7,57,389,85.35,15,7,16.2,16.4,2494,10,1933,0.899,10
Philadelphia Flyers*,7,0,0,28.1,82,43,25,11,3,100,0.61,240,207,0.33,-0.07,2.93,2.52,55,350,15.71,55,314,82.48,11,9,14.3,16.1,2452,9.8,2144,0.903,11
Buffalo Sabres*,8,0,0,28.1,82,46,30,5,1,98,0.598,218,184,0.35,-0.07,2.66,2.24,60,373,16.09,40,334,88.02,6,5,15.1,15.4,2204,9.9,2195,0.916,13
Pittsburgh Penguins*,9,0,0,28,82,42,28,9,3,96,0.585,281,256,0.23,-0.07,3.43,3.12,76,375,20.27,78,405,80.74,7,11,19.2,18.7,2394,11.7,2397,0.893,3
Washington Capitals*,10,0,0,30.1,82,41,27,10,4,96,0.585,233,211,0.16,-0.1,2.84,2.57,75,353,21.25,62,391,84.14,6,7,13.8,12.8,2348,9.9,2273,0.907,5
San Jose Sharks*,11,0,0,26.8,82,40,27,12,3,95,0.579,217,192,0.36,0.06,2.65,2.34,57,406,14.04,61,441,86.17,8,10,16.5,16.8,2266,9.6,2169,0.911,9
Edmonton Oilers*,12,0,0,26.2,82,39,28,12,3,93,0.567,243,222,0.32,0.07,2.96,2.71,59,398,14.82,62,382,83.77,13,4,15.6,15.5,2145,11.3,2139,0.896,8
Los Angeles Kings*,13,0,0,28.5,82,38,28,13,3,92,0.561,252,228,0.32,0.03,3.07,2.78,71,367,19.35,72,382,81.15,14,6,14.3,14.4,2288,11,2160,0.894,10
Vancouver Canucks*,14,0,0,26.7,82,36,28,11,7,90,0.549,239,238,0.08,0.07,2.91,2.9,71,416,17.07,74,387,80.88,12,11,13.4,15.6,2434,9.8,2121,0.888,2
Toronto Maple Leafs*,15,0,0,29.4,82,37,29,11,5,90,0.549,232,207,0.25,-0.05,2.83,2.52,57,355,16.06,55,366,84.97,2,9,17.4,15.1,2276,10.2,2244,0.908,6
Phoenix Coyotes,16,0,0,28.5,82,35,27,17,3,90,0.549,214,212,0.07,0.05,2.61,2.59,57,343,16.62,64,432,85.19,9,6,16.2,12.4,2055,10.4,2430,0.913,6
Carolina Hurricanes*,17,0,0,28.7,82,38,32,9,3,88,0.537,212,225,-0.24,-0.08,2.59,2.74,72,382,18.85,45,351,87.18,6,16,13.1,13.7,2217,9.6,2206,0.898,6
Boston Bruins,18,0,0,26.9,82,36,30,8,8,88,0.537,227,249,-0.27,0,2.77,3.04,64,390,16.41,65,377,82.76,8,7,16,16.7,2359,9.6,2190,0.886,2
Nashville Predators,19,0,0,27,82,34,36,9,3,80,0.488,186,200,-0.11,0.06,2.27,2.44,51,361,14.13,49,331,85.2,7,4,11.4,12.2,2182,8.5,2347,0.915,6
Calgary Flames,20,0,0,27.7,82,27,36,15,4,73,0.445,197,236,-0.37,0.11,2.4,2.88,65,435,14.94,76,378,79.89,3,11,16.6,18.8,2230,8.8,2224,0.894,8
New York Rangers,21,0,0,29.5,82,33,43,5,1,72,0.439,250,290,-0.53,-0.04,3.05,3.54,65,363,17.91,86,400,78.5,16,12,18.3,16.8,2345,10.7,2575,0.887,0
Columbus Blue Jackets,22,0,0,28.2,82,28,39,9,6,71,0.433,190,233,-0.44,0.08,2.32,2.84,56,381,14.7,70,363,80.72,3,8,14.8,14.9,2082,9.1,2475,0.906,4
Chicago Blackhawks,23,0,0,27.8,82,29,40,8,5,71,0.433,210,246,-0.36,0.08,2.56,3,41,318,12.89,52,323,83.9,15,12,11.9,11.9,2160,9.7,2190,0.888,6
Montreal Canadiens,24,0,0,26.8,82,28,40,8,6,70,0.427,206,232,-0.35,-0.03,2.51,2.83,68,421,16.15,60,337,82.2,5,3,12.2,15.7,2148,9.6,2296,0.899,4
Minnesota Wild,25,0,0,27.4,82,25,39,13,5,68,0.415,168,210,-0.42,0.09,2.05,2.56,36,374,9.63,57,373,84.72,13,14,14.3,13.8,2020,8.3,2307,0.909,6
Florida Panthers,26,0,0,27,82,22,38,13,9,66,0.402,200,246,-0.6,-0.04,2.44,3,46,353,13.03,64,398,83.92,8,13,18.3,18.1,2170,9.2,2559,0.904,6
Mighty Ducks of Anaheim,27,0,0,26.9,82,25,41,11,5,66,0.402,188,245,-0.6,0.1,2.29,2.99,66,373,17.69,71,390,81.79,6,13,13.7,12.6,2123,8.9,2417,0.899,6
Atlanta Thrashers,28,0,0,27.8,82,23,45,12,2,60,0.366,211,289,-0.99,-0.04,2.57,3.52,54,395,13.67,90,408,77.94,9,8,18.2,17.7,2291,9.2,2655,0.891,2
Tampa Bay Lightning,29,0,0,24.6,82,24,47,6,5,59,0.36,201,280,-0.98,-0.01,2.45,3.41,53,424,12.5,72,422,82.94,9,11,16.9,16.1,2014,10,2557,0.89,5
New York Islanders,30,0,0,26.8,82,21,51,7,3,52,0.317,185,268,-1.02,0,2.26,3.27,51,386,13.21,79,445,82.25,9,14,16.2,14.5,2257,8.2,2377,0.887,2
League Average,,,,27.8,82,36,32,10,4,86,0.525,226,226,,,,,63,376,16.64,63,376,83.36,9,9,15,15,2272,9.9,2272,0.901,6
