,Rk,Conf Champ,League Champ,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (EV),PDO (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Faceoff Win,Faceoff Loss,Faceoff %,Hits,Blocks
Anaheim Ducks,24,0,0,27.5,82,35,37,10,80,0.488,196,248,3,3,-0.63,0.01,2.39,3.02,36,212,16.98,55,271,79.7,5,10,9,7.2,2271,8.6,2725,0.909,4,3744,4163,47.4,2783,3145,46.9,8,91.6,99.6,48.9,51.1,1934,1835,51.3,1773,1018
Arizona Coyotes,19,0,0,27.2,82,39,35,8,86,0.524,209,220,4,3,-0.14,-0.02,2.55,2.68,42,258,16.28,34,226,84.96,16,9,7.1,8.2,2522,8.3,2526,0.913,6,3928,4126,48.8,2903,3003,49.2,7.3,91.7,99,49.6,50.4,1903,2062,48,1918,1123
Boston Bruins*,3,1,0,28.7,82,49,24,9,107,0.652,257,212,2,3,0.52,-0.01,3.13,2.59,65,251,25.9,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,0.912,9,4086,3628,53,3128,2709,53.6,8.2,92.4,100.6,54,46,2009,1992,50.2,1771,919
Buffalo Sabres,27,0,0,26.6,82,33,39,10,76,0.463,221,268,5,3,-0.51,0.04,2.7,3.27,46,236,19.49,41,215,80.93,3,9,7,7.5,2697,8.2,2704,0.901,2,3962,3987,49.8,3074,3111,49.7,7.6,90.6,98.2,49.9,50.1,1923,2120,47.6,1468,876
Calgary Flames*,2,0,0,27.7,82,50,25,7,107,0.652,289,223,0,4,0.7,-0.06,3.52,2.72,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,0.903,3,4521,3720,54.9,3428,2811,54.9,8,91.5,99.5,53.6,46.4,2019,2071,49.4,1956,909
Carolina Hurricanes*,10,0,0,26.8,82,46,29,7,99,0.604,243,221,2,2,0.26,-0.01,2.96,2.7,44,247,17.81,44,239,81.59,8,8,7.5,8.7,2822,8.6,2343,0.906,6,3920,3897,50.1,3044,2923,51,9.6,90.8,100.4,50.5,49.5,2085,2026,50.7,1663,974
Chicago Blackhawks,20,0,0,28.5,82,36,34,12,84,0.512,267,291,3,1,-0.25,0.02,3.26,3.55,48,238,20.17,63,231,72.73,6,7,7.3,7.1,2669,10,2852,0.898,2,4152,3568,53.8,3062,2698,53.2,10,91.3,101.3,53.4,46.6,2032,1836,52.5,1177,870
Colorado Avalanche*,17,0,0,27,82,38,30,14,90,0.549,258,244,2,2,0.17,-0.01,3.15,2.98,63,286,22.03,58,272,78.68,9,5,9.4,9.6,2676,9.6,2619,0.907,5,4053,4134,49.5,2962,3148,48.5,9.4,90.7,100.1,52.1,47.9,1940,1996,49.3,1285,986
Columbus Blue Jackets*,13,0,0,26.6,82,47,31,4,98,0.598,256,231,2,1,0.31,-0.01,3.12,2.82,34,221,15.38,30,200,85,8,6,6.2,6.8,2592,9.9,2418,0.904,9,3903,3928,49.8,2883,2861,50.2,8.6,91.4,100,53,47,1836,2017,47.7,1568,1067
Dallas Stars*,16,0,0,28.3,82,43,32,7,93,0.567,209,200,1,2,0.09,0,2.55,2.44,45,214,21.03,41,238,82.77,4,2,7.7,7.3,2519,8.3,2591,0.923,10,3876,4099,48.6,2856,3000,48.8,7.6,92.8,100.3,46.3,53.7,2131,1938,52.4,1739,1099
Detroit Red Wings,28,0,0,29.3,82,32,40,10,74,0.451,224,272,3,5,-0.57,0.04,2.73,3.32,39,216,18.06,56,245,77.14,7,7,7.9,7.3,2394,9.4,2761,0.901,2,3753,4146,47.5,2806,3197,46.7,8.7,91,99.7,48.4,51.6,2157,2094,50.7,1656,949
Edmonton Oilers,25,0,0,27.2,82,35,38,9,79,0.482,229,271,3,3,-0.51,0.01,2.79,3.3,47,222,21.17,62,246,74.8,10,7,9.2,7.7,2392,9.6,2599,0.896,5,3737,4018,48.2,2770,2999,48,8.6,90.8,99.4,47.8,52.2,1938,2036,48.8,2090,1019
Florida Panthers,18,0,0,28,82,36,32,14,86,0.524,264,273,3,7,-0.14,0.02,3.22,3.33,72,269,26.77,43,230,81.3,3,13,8.4,9.2,2705,9.8,2516,0.891,1,3892,3977,49.5,2981,2994,49.9,8.5,90,98.5,50.2,49.8,2069,2113,49.5,1809,983
Los Angeles Kings,30,0,0,29.3,82,31,42,9,71,0.433,199,259,3,4,-0.73,0.02,2.43,3.16,35,221,15.84,54,230,76.52,4,13,8.1,8,2358,8.4,2578,0.9,5,3811,4085,48.3,2828,3076,47.9,8.1,91.1,99.2,47.8,52.2,1977,1971,50.1,1795,1009
Minnesota Wild,21,0,0,29.5,82,37,36,9,83,0.506,210,233,1,4,-0.3,0.02,2.56,2.84,49,241,20.33,44,240,81.67,5,4,8,8.5,2567,8.2,2419,0.904,2,4007,3876,50.8,3011,2823,51.6,7.2,90.7,97.8,50.6,49.4,1959,2035,49,1519,1053
Montreal Canadiens,14,0,0,27.9,82,44,30,8,96,0.585,246,236,3,0,0.16,0,3,2.88,31,234,13.25,46,241,80.91,5,4,8.3,8.3,2796,8.8,2548,0.907,4,4542,3880,53.9,3287,2881,53.3,8.7,91.2,99.9,51.7,48.3,1991,2084,48.9,2096,999
Nashville Predators*,7,0,0,28.9,82,47,29,6,100,0.61,236,212,4,2,0.31,-0.01,2.88,2.59,33,255,12.94,45,251,82.07,8,8,8.4,9.4,2677,8.8,2460,0.914,7,3554,4026,46.9,2765,3060,47.5,8.1,90,98,44.3,55.7,1956,2041,48.9,1804,966
New Jersey Devils,29,0,0,27.5,82,31,41,10,72,0.439,219,271,3,4,-0.61,0.04,2.67,3.3,45,254,17.72,40,255,84.31,10,10,9.1,9,2488,8.8,2592,0.895,6,4109,3772,52.1,3103,2829,52.3,8.6,92.3,100.9,51,49,2104,1927,52.2,1431,943
New York Islanders*,5,0,0,28.4,82,48,27,7,103,0.628,223,191,5,5,0.38,-0.01,2.72,2.33,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,0.925,11,3712,4067,47.7,2734,2949,48.1,9.3,93.1,102.4,47.2,52.8,1784,1941,47.9,1933,1118
New York Rangers,26,0,0,27.4,82,32,36,14,78,0.476,221,267,6,5,-0.52,0.03,2.7,3.26,44,227,19.38,58,266,78.2,7,4,10.4,8.5,2393,9.2,2774,0.904,2,3610,4231,46,2734,3175,46.3,8.5,91,99.5,47.1,52.9,1786,2034,46.8,2000,1056
Ottawa Senators,31,0,0,27.3,82,29,47,6,64,0.39,242,301,0,1,-0.69,0.05,2.95,3.67,46,226,20.35,45,216,79.17,4,8,8.5,8.3,2429,10,2931,0.897,4,3765,4609,45,2830,3383,45.5,9.4,90,99.4,46.9,53.1,2021,2006,50.2,1700,1226
Philadelphia Flyers,22,0,0,26.6,82,37,37,8,82,0.5,241,280,3,1,-0.42,0.03,2.94,3.41,40,234,17.09,51,237,78.48,4,11,8.9,8.3,2583,9.3,2665,0.895,3,3918,4128,48.7,2908,3012,49.1,9.4,90.3,99.6,46.8,53.2,2134,1818,54,1660,1116
Pittsburgh Penguins*,9,0,0,28.4,82,44,26,12,100,0.61,271,238,2,3,0.38,-0.01,3.3,2.9,56,228,24.56,45,222,79.73,12,15,8.4,8,2731,9.9,2729,0.913,7,4123,4190,49.6,3117,3124,49.9,8.8,92.3,101.1,48.1,51.9,2063,2049,50.2,2218,1066
San Jose Sharks*,6,0,0,29.4,82,46,27,9,101,0.616,289,258,0,3,0.3,-0.04,3.52,3.15,57,241,23.65,45,234,80.77,9,9,9.1,9.4,2708,10.7,2323,0.889,5,4246,3615,54,3163,2673,54.2,9.9,89.3,99.2,53.3,46.7,1968,1923,50.6,1496,942
St. Louis Blues*,11,1,1,28,82,45,28,9,99,0.604,244,220,3,3,0.28,-0.01,2.98,2.68,50,237,21.1,43,232,81.47,5,7,7.6,8.2,2604,9.4,2345,0.906,9,3957,3710,51.6,2969,2723,52.2,8.7,91.3,100,50.8,49.2,2050,1941,51.4,1519,987
Tampa Bay Lightning*,1,0,0,27.1,82,62,16,4,128,0.78,319,221,6,1,1.21,-0.05,3.89,2.7,74,262,28.24,40,267,85.02,12,3,9.5,9.4,2620,12.2,2633,0.916,6,4015,3834,51.2,3039,2915,51,10.5,91.7,102.3,49.8,50.2,2057,1948,51.4,2015,919
Toronto Maple Leafs*,8,0,0,27.5,82,46,28,8,100,0.61,286,249,0,2,0.42,-0.01,3.49,3.04,46,211,21.8,41,204,79.9,5,9,6.1,6.7,2736,10.5,2717,0.908,3,4588,4313,51.5,3359,3347,50.1,10.2,91.6,101.8,50.4,49.6,2239,1971,53.2,1347,966
